sku,invoice_number,invoice_date_parsed,item_number,item_title,category,qty,bid_amount,msrp,bid_to_msrp_ratio,discount_pct,line_cost,projected_sale_price_per_unit,projected_revenue,projected_profit
SKU0334,072624-3501-181766,2024-07-26,478,Set of 2 DriftAway Embroidered Curtains for Living Room,Bedding & Textiles,1.0,5.0,55.98,0.08931761343336907,0.9106823865666309,5.0,39.18599999999999,39.18599999999999,34.18599999999999
SKU0335,072624-3501-181766,2024-07-26,489,HomeRoots Shiny Nickel/Silver Guita Wire Spheres Set of 3,Miscellaneous,1.0,1.0,37.88,0.026399155227032733,0.9736008447729673,1.0,26.516000000000002,26.516000000000002,25.516000000000002
SKU0336,072624-3501-181766,2024-07-26,551,Echelon Three Line Hotel Collection Euro Shams Pair,Bedding & Textiles,1.0,1.0,28.49,0.0351000351000351,0.9648999648999649,1.0,19.942999999999998,19.942999999999998,18.942999999999998
SKU0337,072624-3501-181766,2024-07-26,556,Set of 2 Glitzhome Knitted Polyester Red Christmas,Miscellaneous,1.0,1.0,45.98,0.02174858634188778,0.9782514136581122,1.0,32.18599999999999,32.18599999999999,31.185999999999993
SKU0338,072624-3501-181766,2024-07-26,565,VHC Brands Annie Buffalo Check Farmhouse Kitchen,Miscellaneous,1.0,3.0,18.95,0.158311345646438,0.841688654353562,3.0,13.264999999999999,13.264999999999999,10.264999999999999
SKU0339,072624-3501-181766,2024-07-26,569,Nanshing Payton Grommet Sheer Curtain Panel Pair (Each,Bedding & Textiles,1.0,1.0,36.99,0.02703433360367667,0.9729656663963233,1.0,25.893,25.893,24.893
SKU0340,072624-3501-181766,2024-07-26,581,Set of 3 Sweet Home Collection Pinch Pleat Kitchen Curtain,Bedding & Textiles,1.0,1.0,44.97,0.022237046920169003,0.977762953079831,1.0,31.478999999999996,31.478999999999996,30.478999999999996
SKU0341,072624-3501-181766,2024-07-26,693,"Croscill Nomad Shower Curtain, Blue",Bedding & Textiles,1.0,4.0,44.99,0.08890864636585907,0.911091353634141,4.0,31.493,31.493,27.493
SKU0331,072624-3501-181811,2024-07-26,103,SwitchBot Automatic Curtain Opener - Bluetooth Remote,Bedding & Textiles,1.0,3.0,,,,3.0,4.5,4.5,1.5
SKU0330,072624-3501-181811,2024-07-26,48,"Handheld Steam Cleaner, Steamer for Cleaning, 10 in 1",Miscellaneous,1.0,9.0,,,,9.0,13.5,13.5,4.5
SKU0327,073124-3501-182566,2024-07-31,201,"Petique 5-in-1 PET CARRIER, Features: Rolling, Top",Pet Supplies,1.0,10.0,121.12,0.08256274768824307,0.9174372523117569,10.0,84.78399999999999,84.78399999999999,74.78399999999999
SKU0327,073124-3501-182566,2024-07-31,201,"Petique 5-in-1 PET CARRIER, Features: Rolling, Top",Pet Supplies,1.0,10.0,121.12,0.08256274768824307,0.9174372523117569,10.0,84.78399999999999,84.78399999999999,74.78399999999999
SKU0328,073124-3501-182566,2024-07-31,232,"STUAA Boho Comforter Set, Washed Microfiber Blue Queen",Bedding & Textiles,1.0,13.0,39.99,0.3250812703175794,0.6749187296824206,13.0,27.993,27.993,14.992999999999999
SKU0328,073124-3501-182566,2024-07-31,232,"STUAA Boho Comforter Set, Washed Microfiber Blue Queen",Bedding & Textiles,1.0,13.0,39.99,0.3250812703175794,0.6749187296824206,13.0,27.993,27.993,14.992999999999999
SKU0329,073124-3501-182566,2024-07-31,233,Amazon Basics Room Darkening Blackout Window Curtain,Bedding & Textiles,1.0,5.0,32.7,0.1529051987767584,0.8470948012232415,5.0,22.89,22.89,17.89
