Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Cost,Variant Requires Shipping,Variant Taxable,Variant Inventory Policy,Variant Fulfillment Service,Image Src,Image Position,SEO Title,SEO Description
duralast-gold-c-v-shaft-assembly-sku0011,Duralast Gold C.V. Shaft Assembly,<p>Duralast Gold C.V. Shaft Assembly</p><p>Category: Miscellaneous</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $0.00 – Our Price: $6.00</p>,Duralast Gold C.V.,General Merchandise,Miscellaneous,"Miscellaneous, General Merchandise",TRUE,Title,Default Title,SKU0011,1,6.0,0.0,4.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15424223/136-df6f0ef1-da0f-49fd-b4ce-e1956bc17636.jpg,1,Duralast Gold C.V. Shaft Assembly,Open-box deal: Duralast Gold C.V. Shaft Assembly in Miscellaneous. Save vs MSRP.
vcny-84-inch-blackout-panel-pair-curtain-sku0012,VCNY 84-inch Blackout Panel Pair Curtain,<p>VCNY 84-inch Blackout Panel Pair Curtain</p><p>Category: Bedding & Textiles</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $0.00 – Our Price: $4.50</p>,VCNY 84,Home & Garden,Bedding & Textiles,"Bedding & Textiles, Home & Garden",TRUE,Title,Default Title,SKU0012,1,4.5,0.0,3.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15424227/140-6eee18a3-da59-4e64-9a73-8a2b5a42536f.jpg,1,VCNY 84-inch Blackout Panel Pair Curtain,Open-box deal: VCNY 84-inch Blackout Panel Pair Curtain in Bedding & Textiles. Save vs MSRP.
bgment-privacy-blackout-curtain-panel-7ft-tall-navy-blue-sku0013,"BGment Privacy Blackout Curtain Panel 7ft Tall, Navy Blue","<p>BGment Privacy Blackout Curtain Panel 7ft Tall, Navy Blue</p><p>Category: Bedding & Textiles</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $0.00 – Our Price: $6.00</p>",BGment Privacy Blackout,Home & Garden,Bedding & Textiles,"Bedding & Textiles, Home & Garden",TRUE,Title,Default Title,SKU0013,1,6.0,0.0,4.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15424230/143-10d373a1-0e67-4501-82b5-15c613c170bc.jpg,1,"BGment Privacy Blackout Curtain Panel 7ft Tall, Navy Blue","Open-box deal: BGment Privacy Blackout Curtain Panel 7ft Tall, Navy Blue in Bedding & Textiles. Save vs MSRP."
mystery-item-sku0014,Mystery Item,<p>Mystery Item</p><p>Category: Miscellaneous</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $0.00 – Our Price: $17.00</p>,Mystery Item,General Merchandise,Miscellaneous,"Miscellaneous, General Merchandise",TRUE,Title,Default Title,SKU0014,3,17.0,0.0,11.33,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15424233/146-e24ab40e-06ce-419c-9ae8-86f24102005e.jpg,1,Mystery Item,Open-box deal: Mystery Item in Miscellaneous. Save vs MSRP.
bamboo-pendant-light-sku0015,Bamboo Pendant Light,<p>Bamboo Pendant Light</p><p>Category: Lighting & Electrical</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $30.00 – Our Price: $9.00</p>,Bamboo Pendant Light,Other,Lighting & Electrical,"Lighting & Electrical, Other",TRUE,Title,Default Title,SKU0015,1,9.0,30.0,6.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15424236/149-e0ae657a-1331-4ba1-9716-7b6dd3fc9177.jpg,1,Bamboo Pendant Light,Open-box deal: Bamboo Pendant Light in Lighting & Electrical. Save vs MSRP.
l-shaped-corner-desk-white-sku0016,"L-Shaped Corner Desk, White","<p>L-Shaped Corner Desk, White</p><p>Category: Furniture</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $107.99 – Our Price: $24.00</p>",L,Furniture,Furniture,"Furniture, Furniture",TRUE,Title,Default Title,SKU0016,1,24.0,107.99,16.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15421320/610-abc0016b-3eb8-4283-b318-300d6fc41664.jpg,1,"L-Shaped Corner Desk, White","Open-box deal: L-Shaped Corner Desk, White in Furniture. Save vs MSRP."
abstract-modern-picture-wall-art-blue-artwork-painting-on-sku0017,Abstract Modern Picture Wall Art: Blue Artwork Painting on,<p>Abstract Modern Picture Wall Art: Blue Artwork Painting on</p><p>Category: Home Decor</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $107.99 – Our Price: $75.59</p>,Abstract Modern Picture,Home & Garden,Home Decor,"Home Decor, Home & Garden",TRUE,Title,Default Title,SKU0017,1,75.59,107.99,8.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15421329/619-127b7373-9f43-4a3d-b6d4-beb3576568f5.jpg,1,Abstract Modern Picture Wall Art: Blue Artwork Painting on,Open-box deal: Abstract Modern Picture Wall Art: Blue Artwork Painting on in Home Decor. Save vs MSRP.
regalo-56-inch-extra-widespan-walk-through-baby-gate-sku0018,"Regalo 56-Inch Extra WideSpan Walk Through Baby Gate,","<p>Regalo 56-Inch Extra WideSpan Walk Through Baby Gate,</p><p>Category: Baby & Safety</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $64.99 – Our Price: $45.49</p>",Regalo 56,Baby & Kids Items,Baby & Safety,"Baby & Safety, Baby & Kids Items",TRUE,Title,Default Title,SKU0018,1,45.49,64.99,2.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15421337/627-22f6d2ab-e286-4133-9412-b3dbc3d1804e.jpg,1,"Regalo 56-Inch Extra WideSpan Walk Through Baby Gate,","Open-box deal: Regalo 56-Inch Extra WideSpan Walk Through Baby Gate, in Baby & Safety. Save vs MSRP."
coaster-home-furnishings-marbrisa-slat-back-side-chairs-sku0019,Coaster Home Furnishings Marbrisa Slat Back Side Chairs,<p>Coaster Home Furnishings Marbrisa Slat Back Side Chairs</p><p>Category: Furniture</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $175.00 – Our Price: $122.50</p>,Coaster Home Furnishings,Furniture,Furniture,"Furniture, Furniture",TRUE,Title,Default Title,SKU0019,1,122.5,175.0,23.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15421340/1000015942-a67e6c27-a51c-4310-bfb6-540c5f670fc9.jpg,1,Coaster Home Furnishings Marbrisa Slat Back Side Chairs,Open-box deal: Coaster Home Furnishings Marbrisa Slat Back Side Chairs in Furniture. Save vs MSRP.
roomratv-flush-mount-ceiling-light-with-night-light-and-remote-control-sku0020,Roomratv Flush Mount Ceiling Light with Night Light and Remote Control,<p>Roomratv Flush Mount Ceiling Light with Night Light and Remote Control</p><p>Category: Lighting & Electrical</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $119.99 – Our Price: $10.50</p>,Roomratv Flush Mount,Other,Lighting & Electrical,"Lighting & Electrical, Other",TRUE,Title,Default Title,SKU0020,1,10.5,119.99,7.0,TRUE,TRUE,deny,manual,https://m.media-amazon.com/images/I/71wD+GD2+uL._AC_SL1500_.jpg,1,Roomratv Flush Mount Ceiling Light with Night Light and Remote Control,Open-box deal: Roomratv Flush Mount Ceiling Light with Night Light and Remote Control in Lighting & Electrical. Save vs MSRP.
